988→39124,2
989→20009,6
990→39316,2
991→27822,16
992→28056,6
993→22130,4
994→27442,12
995→26590,8
996→39578,2
997→32190,2
998→28638,2
999→33426,4
1000→20031,2
1001→37086,36
1002→36154,32
1003→22766,22
1004→23486,616
1005→34431,28
1006→31143,6
1007→29980,10
1008→30091,4
1009→25771,4
1010→40120,2
1011→24465,16
1012→32500,16
1013→37072,8
1014→21117,4
1015→23472,84
1016→30065,22
1017→37240,4
1018→23016,2
1019→30401,24
1020→26564,2
1021→33284,40
1022→21741,18
1023→37624,4
1024→20693,62
1025→40544,2
1026→32958,10
1027→39311,2
1028→29183,16
1029→28051,4
1030→27825,30
1031→28263,6
1032→20832,10
1033→33419,4
1034→25118,2
1035→39547,2
1036→38495,52
1037→25924,2
1038→32993,44
1039→33841,6
1040→20658,2
1041→31518,2
1042→19988,332
1043→38461,2
1044→24802,6
1045→23815,30
1046→27489,2
1047→35970,6
1048→38237,6
1049→29177,18
1050→31188,2
1051→28297,4
1052→30268,2
1053→25588,12
1054→21914,4
1055→21128,2
1056→38345,2
1057→34588,8
1058→35668,4
1059→29237,100
1060→39899,2
1061→37903,2
1062→38177,24
1063→28781,10
1064→29653,2
1065→32029,6
1066→40409,2
1067→38721,68
1068→26429,8
1069→35802,14
1070→31658,2
1071→25856,6
1072→20518,4
1073→33933,2
1074→22841,12
1075→34118,2
1076→29495,4
1077→33759,2
1078→39263,2
1079→22419,2
1080→26885,2
1081→27957,2
1082→27359,8
1083→36019,12
1084→20940,2
1085→39051,2
1086→21892,68
1087→23164,4
1088→37756,2
1089→25293,6
1090→32224,2
1091→24341,34
1092→37564,2
1093→32016,4
1094→26624,2
1095→35233,4
1096→21065,4
1097→24517,34
1098→38148,10
1099→32472,6
1100→26240,4
1101→35657,2
1102→30117,2
1103→35465,8
1104→23500,62
1105→20143,48
1106→36026,4
1107→32486,2
1108→31203,4
1109→26086,56
1110→22426,4
1111→35491,6
1112→36214,4
1113→27530,8
1114→31455,22
1115→36670,8
1116→39638,2
1117→25055,2
1118→24187,18
1119→22270,44
1120→34749,6
1121→28316,2
1122→20947,2
1123→39056,10
1124→20349,4
1125→28124,2
1126→27950,2
1127→23994,6
1128→27508,14
1129→34923,4
1130→22846,12
1131→28540,4
1132→29492,4
1133→39432,4
1134→33108,6
1135→24379,10
1136→35805,4
1137→31499,18
1138→30779,6
1139→21439,38
1140→25099,6
1141→38514,8
1142→37138,26
1143→37904,2
1144→40258,2
1145→26876,2
1146→20520,2
1147→37597,6
1148→33137,2
1149→24180,712
1150→31660,6
1151→22277,36
1152→34120,6
1153→36677,10
1154→20712,2
1155→26081,8
1156→31036,6
1157→35496,14
1158→22421,2
1159→34544,2
1160→36213,82
1161→38389,28
1162→33553,4
1163→32481,2
1164→39069,2
1165→29801,2
1166→23507,14
1167→37335,16
1168→24722,2
1169→33795,6
1170→40055,6
1171→32475,8
1172→26247,4
1173→23735,8
1174→24948,2
1175→37563,2
1176→40431,2
1177→30746,12
1178→26623,2
1179→22283,112
1180→26411,16
1181→22870,2
1182→30589,14
1183→34915,192
1184→39636,12
1185→25269,4
1186→24189,46
1187→29696,4
1188→28744,2
1189→36028,2
1190→36814,14
1191→39060,6
1192→32488,2
1193→20971,22
1194→27368,2
1195→28320,2
1196→26088,100
1197→27966,2
1198→22428,2
1199→39252,8
1200→40860,68
1201→29808,6
1202→26840,18
1203→21259,22
1204→35833,8
1205→37758,4
1206→24941,2
1207→32824,6
1208→23358,2
1209→36225,2
1210→20340,4
1211→27357,2
1212→31232,22
1213→35692,6
1214→20172,6
1215→40097,8
1216→33565,2
1217→31656,10
1218→27733,2
1219→30784,2
1220→37793,2
1221→24384,2
1222→25256,2
1223→26615,2
1224→37555,4
1225→21430,2
1226→40407,2
1227→32027,18
1228→40635,14
1229→32215,4
1230→30542,2
1231→23155,2
1232→32671,2
1233→40251,52
1234→23531,20
1235→34586,4
1236→38945,6
1237→32443,4
1238→21868,72
1239→38525,126
1240→35834,12
1241→38717,6
1242→24348,182
1243→30922,2
1244→23509,108
1245→29033,4
1246→26847,2
1247→38373,2
1248→37109,4
1249→21850,14
1250→20982,14
1251→26249,2
1252→31038,16
1253→27961,22
1254→35498,18
1255→39255,38
1256→38387,10
1257→38989,2
1258→39067,2
1259→28327,4
1260→33905,8
1261→33139,2
1262→39631,2
1263→30313,6
1264→21053,2
1265→40858,36
1266→20181,8
1267→32444,2
1268→21261,14
1269→32676,12
1270→24713,12
1271→29830,2
1272→26044,36
1273→34581,2
1274→23536,14
1275→38728,12
1276→40632,4
1277→24377,26
1278→26420,10
1279→30545,2
1280→22080,2
1281→29468,16
1282→35037,4
1283→26612,6
1284→21437,2
1285→24145,12
1286→32020,26
1287→25097,130
1288→36646,10
1289→27506,452
1290→34111,2
1291→34323,50
1292→20511,4
1293→33106,2
1294→31235,2
1295→34747,2
1296→35695,4
1297→22622,10
1298→39864,2
1299→36010,6
1300→21295,2
1301→20347,2
1302→25635,2
1303→23562,678
1304→29864,2
1305→32622,32
1306→25695,2
1307→21235,46
1308→37350,2
1309→24575,2
1310→35635,2
1311→30347,22
1312→31295,2
1313→26222,18
1314→21463,470
1315→34383,32
1316→26646,2
1317→27794,8
1318→26474,2
1319→30511,2
1320→24323,8
1321→33394,24
1322→33152,2
1323→32080,12
